,value
0,0.611
1,0.852
2,0.988
3,1.046
4,1.005
5,1.028
6,0.982
7,1.009
8,0.970
9,1.016
10,0.990
11,1.074
12,0.991
13,1.076
14,1.122
15,1.153
16,1.116
17,1.142
18,0.977
19,0.881
20,0.830
21,0.915
22,0.684
23,0.547
24,0.500
25,0.528
26,0.487
27,0.519
28,0.472
29,0.508
30,0.452
31,0.637
32,0.781
33,0.940
34,0.957
35,1.012
36,1.001
37,1.049
38,1.010
39,0.922
40,0.730
41,0.782
42,0.710
43,0.719
44,0.676
45,0.592
46,0.399
47,0.394
48,0.351
49,0.380
50,0.333
51,0.429
52,0.352
53,0.357
54,0.315
55,0.346
56,0.306
57,0.336
58,0.293
59,0.322
60,0.283
61,0.447
62,0.504
63,0.545
64,0.537
65,0.597
66,0.583
67,0.620
68,0.480
69,0.358
70,0.260
71,0.463
72,0.537
73,0.589
74,0.553
75,0.584
76,0.544
77,0.547
78,0.473
79,0.502
80,0.467
81,0.561
82,0.380
83,0.270
84,0.215
85,0.248
86,0.211
87,0.244
88,0.204
89,0.239
90,0.192
91,0.292
92,0.217
93,0.220
94,0.178
95,0.210
96,0.237
97,0.409
98,0.457
99,0.502
100,0.463
101,0.560
102,0.489
103,0.502
104,0.465
105,0.418
106,0.228
107,0.196
108,0.154
109,0.186
110,0.138
111,0.235
112,0.158
113,0.166
114,0.127
115,0.161
116,0.123
117,0.155
118,0.116
119,0.151
120,0.112
121,0.212
122,0.146
123,0.153
124,0.121
125,0.155
126,0.119
127,0.158
128,0.118
129,0.150
130,0.107
131,0.204
132,0.127
133,0.137
134,0.097
135,0.131
136,0.092
137,0.128
138,0.086
139,0.122
140,0.083
141,0.180
142,0.108
143,0.124
144,0.089
145,0.125
146,0.088
147,0.125
148,0.086
149,0.120
150,0.076
151,0.173
152,0.101
153,0.109
154,0.072
155,0.105
156,0.067
157,0.103
158,0.063
159,0.096
160,0.059
161,0.154
162,0.082
163,0.101
164,0.060
165,0.101
166,0.062
167,0.101
168,0.062
169,0.098
170,0.051
171,0.150
172,0.071
173,0.086
174,0.043
175,0.082
176,0.041
177,0.080
178,0.037
179,0.076
180,0.035
181,0.140
182,0.063
183,0.087
184,0.046
185,0.086
186,0.048
187,0.086
188,0.047
189,0.085
190,0.037
191,0.140
192,0.059
193,0.075
194,0.033
195,0.072
196,0.031
197,0.071
198,0.027
199,0.065
200,0.024
201,0.129
202,0.050
203,0.074
204,0.034
205,0.073
206,0.034
207,0.074
208,0.033
209,0.073
210,0.024
211,0.126
212,0.045
213,0.065
214,0.021
215,0.061
216,0.017
217,0.057
218,0.012
219,0.055
220,0.012
221,0.115
222,0.033
223,0.062
224,0.021
225,0.064
226,0.024
227,0.066
228,0.022
229,0.063
230,0.012
231,0.120
232,0.027
233,0.056
234,0.008
235,0.053
236,0.007
237,0.052
238,0.003
239,0.050
240,0.000
241,0.116
